source,target,relation,relation_zh,evidence,source_doc,source_url,count,weight,color
component:brake,system:traction,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:buffer,system:pit,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:call_button,system:electric_control,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:car,system:car,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:car_door,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:car_door_lock,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:car_operating_panel,system:car,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:contactor,system:electric_control,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:controller,system:electric_control,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:counterweight,system:counterweight,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:door_lock_circuit,system:safety_protection,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:door_machine,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:door_sill,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:door_slider,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:emergency_stop,system:safety_protection,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:encoder,system:electric_control,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:governor,system:safety_protection,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:guide_rail,system:guidance,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:inverter,system:electric_drive,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:landing_door,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:landing_door_lock,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:leveling_sensor,system:electric_control,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:light_curtain,system:door,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:limit_switch,system:safety_protection,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:pit_water,system:power_environment,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:power_supply,system:power_environment,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:safety_circuit,system:safety_protection,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:safety_gear,system:safety_protection,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:sheave,system:traction,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:traction_machine,system:traction,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
component:traction_rope,system:traction,BELONGS_TO_SYSTEM,属于系统,,领域种子图,,1,1,#0891b2
raw_cause:.厅门装修垃圾卡死,category:human_obstruction,CATEGORIZED_AS,归类为,.厅门装修垃圾卡死,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:02台15F厅门锁不亮，,category:door_system_fault,CATEGORIZED_AS,归类为,02台15F厅门锁不亮，,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:10楼厅门锁线路接触不好.已修复,category:door_system_fault,CATEGORIZED_AS,归类为,10楼厅门锁线路接触不好.已修复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:10楼的按钮卡了,category:unknown,CATEGORIZED_AS,归类为,10楼的按钮卡了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:11F门锁不通,category:door_system_fault,CATEGORIZED_AS,归类为,11F门锁不通,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
