id,label,name,name_en,kind,kind_zh,description,source,source_url,count,weight,trapped_people,rescue_minutes,color,size
action:adjust_door,action:adjust_door,调整厅轿门/门机,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:clean_sill,action:clean_sill,清理地坎/门导轨,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:drain_and_dry,action:drain_and_dry,排水干燥,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:inspect_brake,action:inspect_brake,检查制动器/抱闸,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:inspect_door_lock,action:inspect_door_lock,检查门锁触点/门锁回路,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:inspect_leveling,action:inspect_leveling,检查平层/位置检测,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:inspect_safety_circuit,action:inspect_safety_circuit,检查安全回路,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:periodic_maintenance,action:periodic_maintenance,周期性维护保养,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:replace_button_switch,action:replace_button_switch,更换按钮/开关,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:replace_light_curtain,action:replace_light_curtain,更换或调整光幕,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:rescue_release_passenger,action:rescue_release_passenger,救援开门放人,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:reset_controller,action:reset_controller,复位/重启控制系统,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:restore_power,action:restore_power,恢复供电/检查电压相序,,action,处置动作,,领域种子图,,,,,,#16a34a,9
action:user_education,action:user_education,使用行为提示,,action,处置动作,,领域种子图,,,,,,#16a34a,9
asset:elevator,asset:elevator,电梯,,asset,资产,面向异常可解释性追溯的电梯整机知识图谱根节点。,领域种子图,,,,,,#334155,14
category:brake_traction,category:brake_traction,制动/曳引异常,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:control_system_fault,category:control_system_fault,控制系统故障/死机,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:door_system_fault,category:door_system_fault,门系统故障,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:false_duplicate_normal,category:false_duplicate_normal,误报/重复/到场正常,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:human_obstruction,category:human_obstruction,人为阻挡/垃圾卡阻,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:leveling_position,category:leveling_position,平层/位置检测异常,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:maintenance_operation,category:maintenance_operation,维保/检修操作,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:power_supply,category:power_supply,外部供电异常,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:safety_chain_open,category:safety_chain_open,安全保护回路断开,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:unknown,category:unknown,未归类故障,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
category:water_environment,category:water_environment,进水/环境影响,,fault_category,故障类别,,领域种子图,,,,,,#dc2626,11
component:brake,component:brake,制动器/抱闸,,component,部件,,领域种子图,,,,,,#0891b2,9
component:buffer,component:buffer,缓冲器,,component,部件,,领域种子图,,,,,,#0891b2,9
component:call_button,component:call_button,外呼/内选按钮,,component,部件,,领域种子图,,,,,,#0891b2,9
component:car,component:car,轿厢,,component,部件,,领域种子图,,,,,,#0891b2,9
component:car_door,component:car_door,轿门,,component,部件,,领域种子图,,,,,,#0891b2,9
component:car_door_lock,component:car_door_lock,轿门锁,,component,部件,,领域种子图,,,,,,#0891b2,9
component:car_operating_panel,component:car_operating_panel,轿内操纵箱,,component,部件,,领域种子图,,,,,,#0891b2,9
component:contactor,component:contactor,接触器,,component,部件,,领域种子图,,,,,,#0891b2,9
component:controller,component:controller,控制柜/主板,,component,部件,,领域种子图,,,,,,#0891b2,9
component:counterweight,component:counterweight,对重,,component,部件,,领域种子图,,,,,,#0891b2,9
component:door_lock_circuit,component:door_lock_circuit,门锁回路,,component,部件,,领域种子图,,,,,,#0891b2,9
component:door_machine,component:door_machine,门机,,component,部件,,领域种子图,,,,,,#0891b2,9
component:door_sill,component:door_sill,地坎/门导轨,,component,部件,,领域种子图,,,,,,#0891b2,9
component:door_slider,component:door_slider,门滑块,,component,部件,,领域种子图,,,,,,#0891b2,9
component:emergency_stop,component:emergency_stop,急停开关,,component,部件,,领域种子图,,,,,,#0891b2,9
component:encoder,component:encoder,编码器,,component,部件,,领域种子图,,,,,,#0891b2,9
component:governor,component:governor,限速器,,component,部件,,领域种子图,,,,,,#0891b2,9
component:guide_rail,component:guide_rail,导轨,,component,部件,,领域种子图,,,,,,#0891b2,9
component:inverter,component:inverter,变频器,,component,部件,,领域种子图,,,,,,#0891b2,9
component:landing_door,component:landing_door,厅门,,component,部件,,领域种子图,,,,,,#0891b2,9
component:landing_door_lock,component:landing_door_lock,厅门锁/门锁触点,,component,部件,,领域种子图,,,,,,#0891b2,9
component:leveling_sensor,component:leveling_sensor,平层传感器,,component,部件,,领域种子图,,,,,,#0891b2,9
component:light_curtain,component:light_curtain,光幕/防夹装置,,component,部件,,领域种子图,,,,,,#0891b2,9
component:limit_switch,component:limit_switch,限位/减速开关,,component,部件,,领域种子图,,,,,,#0891b2,9
component:pit_water,component:pit_water,底坑积水/进水,,component,部件,,领域种子图,,,,,,#0891b2,9
component:power_supply,component:power_supply,供电电源,,component,部件,,领域种子图,,,,,,#0891b2,9
component:safety_circuit,component:safety_circuit,安全回路,,component,部件,,领域种子图,,,,,,#0891b2,9
component:safety_gear,component:safety_gear,安全钳,,component,部件,,领域种子图,,,,,,#0891b2,9
component:sheave,component:sheave,曳引轮,,component,部件,,领域种子图,,,,,,#0891b2,9
component:traction_machine,component:traction_machine,曳引机,,component,部件,,领域种子图,,,,,,#0891b2,9
component:traction_rope,component:traction_rope,曳引钢丝绳,,component,部件,,领域种子图,,,,,,#0891b2,9
dataset:fau_rep,dataset:fau_rep,电梯故障报修数据 fau_rep,,dataset,数据集,本地故障报修数据和故障原因计数表。,local:fau_rep.xls,,,,,,#475569,9
dataset:rescue_orders_2025,dataset:rescue_orders_2025,2025年200台电梯困人工单数据,,dataset,数据集,本地困人工单数据，导出时仅使用非个人隐私字段。,local:2025年200台电梯困人工单数据.xlsx,,,,,,#475569,9
elevator:30103201142006019943,elevator:30103201142006019943,电梯 30103201142006019943,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103202012002010400,elevator:30103202012002010400,电梯 30103202012002010400,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103202012002120008,elevator:30103202012002120008,电梯 30103202012002120008,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103202012006100014,elevator:30103202012006100014,电梯 30103202012006100014,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103202022005060019,elevator:30103202022005060019,电梯 30103202022005060019,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103202042005100059,elevator:30103202042005100059,电梯 30103202042005100059,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103202052001111024,elevator:30103202052001111024,电梯 30103202052001111024,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205032005040034,elevator:30103205032005040034,电梯 30103205032005040034,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205032006010005,elevator:30103205032006010005,电梯 30103205032006010005,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205042013010035,elevator:30103205042013010035,电梯 30103205042013010035,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062007060040,elevator:30103205062007060040,电梯 30103205062007060040,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062007090029,elevator:30103205062007090029,电梯 30103205062007090029,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062007114002,elevator:30103205062007114002,电梯 30103205062007114002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062010030002,elevator:30103205062010030002,电梯 30103205062010030002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062010060014,elevator:30103205062010060014,电梯 30103205062010060014,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062012070047,elevator:30103205062012070047,电梯 30103205062012070047,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205062013120070,elevator:30103205062013120070,电梯 30103205062013120070,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205072016040006,elevator:30103205072016040006,电梯 30103205072016040006,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205072016070054,elevator:30103205072016070054,电梯 30103205072016070054,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205812008012787,elevator:30103205812008012787,电梯 30103205812008012787,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205812009013401,elevator:30103205812009013401,电梯 30103205812009013401,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205812009063576,elevator:30103205812009063576,电梯 30103205812009063576,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205812009093783,elevator:30103205812009093783,电梯 30103205812009093783,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205812011085380,elevator:30103205812011085380,电梯 30103205812011085380,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205822014090091,elevator:30103205822014090091,电梯 30103205822014090091,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205822015080146,elevator:30103205822015080146,电梯 30103205822015080146,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205822015100027,elevator:30103205822015100027,电梯 30103205822015100027,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205822018080015,elevator:30103205822018080015,电梯 30103205822018080015,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205912010080010,elevator:30103205912010080010,电梯 30103205912010080010,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205912018100047,elevator:30103205912018100047,电梯 30103205912018100047,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205942010040104,elevator:30103205942010040104,电梯 30103205942010040104,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205942011060030,elevator:30103205942011060030,电梯 30103205942011060030,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205942011110051,elevator:30103205942011110051,电梯 30103205942011110051,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205942011120022,elevator:30103205942011120022,电梯 30103205942011120022,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103205942018030022,elevator:30103205942018030022,电梯 30103205942018030022,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103206002009050040,elevator:30103206002009050040,电梯 30103206002009050040,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103206002010040229,elevator:30103206002010040229,电梯 30103206002010040229,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103206012014061459,elevator:30103206012014061459,电梯 30103206012014061459,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103206022015093033,elevator:30103206022015093033,电梯 30103206022015093033,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30103210002006031367,elevator:30103210002006031367,电梯 30103210002006031367,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30123202822004120001,elevator:30123202822004120001,电梯 30123202822004120001,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30123210002003110040,elevator:30123210002003110040,电梯 30123210002003110040,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205042008120007,elevator:30133205042008120007,电梯 30133205042008120007,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205062014070002,elevator:30133205062014070002,电梯 30133205062014070002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205072007114015,elevator:30133205072007114015,电梯 30133205072007114015,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205072012080020,elevator:30133205072012080020,电梯 30133205072012080020,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205082015060001,elevator:30133205082015060001,电梯 30133205082015060001,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205812004111017,elevator:30133205812004111017,电梯 30133205812004111017,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205812005071309,elevator:30133205812005071309,电梯 30133205812005071309,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205812006071773,elevator:30133205812006071773,电梯 30133205812006071773,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205812008052938,elevator:30133205812008052938,电梯 30133205812008052938,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205812009063609,elevator:30133205812009063609,电梯 30133205812009063609,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205812011024862,elevator:30133205812011024862,电梯 30133205812011024862,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:30133205822013040003,elevator:30133205822013040003,电梯 30133205822013040003,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
