rank,node,score
1,x50,0.0833309192163
2,x31,0.0720679878392
3,x20,0.0659757258176
4,x4,0.0652632653221
5,x45,0.0622540212441
6,x16,0.050616679686
7,x21,0.0467735357405
8,x3,0.0439751255817
9,x38,0.0413322756746
10,x19,0.0411708141804
11,x6,0.0389811168604
12,x18,0.026179512766
13,x34,0.0261257633525
14,x11,0.0238041140082
15,x40,0.0234860987057
16,x46,0.020509882697
17,x41,0.0196518327369
18,x7,0.0193754255677
19,x43,0.0188284132913
20,x39,0.0171098068189
21,x13,0.0151466958773
22,x30,0.0135622097507
23,x1,0.0133843522605
24,x29,0.0130110657719
25,x44,0.012486430082
26,x27,0.0123914040106
27,x5,0.0116154123232
28,x14,0.00884604685621
29,x37,0.0087401355533
30,x35,0.00813975371176
31,x9,0.00714328758626
32,x22,0.00658667774581
33,x26,0.0065672362735
34,x42,0.00552495758562
35,x33,0.00542722432297
36,x36,0.00526799330399
37,x8,0.00526313202658
38,x24,0.00505071574667
39,x32,0.00482872748795
40,x23,0.00377635669769
41,x28,0.00364324763111
42,x25,0.00338101089157
43,x47,0.00327755963751
44,x51,0.00304674346573
45,x10,0.00228428731761
46,x2,0.00215655804211
47,x12,0.000747574422303
48,x48,0.000747420674459
49,x17,0.000486116066819
50,x52,0.000364609106596
51,x15,0.000146423806553
52,x49,0.000146316856132
