rank,node,score
1,x50,0.0941217011835
2,x31,0.0924304254348
3,x45,0.0764289428586
4,x20,0.0729443259339
5,x16,0.0525139284192
6,x19,0.0510992774889
7,x3,0.0403577044203
8,x21,0.038843396166
9,x18,0.0348210331848
10,x4,0.0315900080386
11,x38,0.02756816209
12,x11,0.0266614526006
13,x46,0.0234013551619
14,x41,0.022907945004
15,x43,0.0210719291569
16,x40,0.0187457276311
17,x7,0.0176439912208
18,x34,0.0164931363043
19,x1,0.0158711850986
20,x29,0.0151544321517
21,x44,0.0149194084114
22,x30,0.0145198631461
23,x39,0.0144259621959
24,x13,0.0132396688363
25,x35,0.0125006041259
26,x27,0.0116172246594
27,x23,0.0115638204672
28,x6,0.0108782919482
29,x22,0.0105461278912
30,x37,0.00826856279005
31,x8,0.00817155709824
32,x42,0.00801769325905
33,x5,0.00778206918803
34,x25,0.00701883812995
35,x24,0.00647636290802
36,x33,0.00645861633173
37,x14,0.00628219874067
38,x28,0.00535500338236
39,x32,0.00522199960155
40,x36,0.00395589148275
41,x2,0.00375097141429
42,x51,0.00370295576105
43,x47,0.0030199290494
44,x9,0.00289186837008
45,x26,0.00278977697549
46,x10,0.00270966832974
47,x12,0.00074730846462
48,x48,0.000747204006122
49,x17,0.000636938663267
50,x52,0.000432384273264
51,x15,0.00034093725547
52,x49,0.000340233294762
