head,relation,tail,edge_key,weight
A,Contained by,Stream 1,A|Contained by|Stream 1,0.957004666328
A,Contained by,Stream 14,A|Contained by|Stream 14,0.356664955616
A,Contained by,Stream 4,A|Contained by|Stream 4,0.756682753563
A,Contained by,Stream 5,A|Contained by|Stream 5,0.309513181448
A,Contained by,Stream 6,A|Contained by|Stream 6,0.522572517395
A,Contained by,Stream 7,A|Contained by|Stream 7,0.0231247227639
A,Contained by,Stream 8,A|Contained by|Stream 8,0.187472596765
A,Contained by,Stream 9,A|Contained by|Stream 9,0.787174880505
A,Generate,F,A|Generate|F,0.349249750376
A,Generate,G,A|Generate|G,0.00960479862988
A,Generate,H,A|Generate|H,0.0263116527349
A,State,x23,A|State|x23,1.0042809248
A,State,x29,A|State|x29,0.83024597168
B,Contained by,Stream 14,B|Contained by|Stream 14,0.276383906603
B,Contained by,Stream 4,B|Contained by|Stream 4,0.428274303675
B,Contained by,Stream 5,B|Contained by|Stream 5,0.0606330931187
B,Contained by,Stream 6,B|Contained by|Stream 6,0.282414764166
B,Contained by,Stream 7,B|Contained by|Stream 7,0.0235182195902
B,Contained by,Stream 8,B|Contained by|Stream 8,0.232144698501
B,Contained by,Stream 9,B|Contained by|Stream 9,0.95158803463
B,State,x24,B|State|x24,0.203495979309
B,State,x30,B|State|x30,0.959713935852
Compressor,Output,Stream 6,Compressor|Output|Stream 6,0.0854508727789
Compressor,State,x20,Compressor|State|x20,0.497658193111
Compressor,State,x46,Compressor|State|x46,1.52774977684
Condenser,Output,Stream 14,Condenser|Output|Stream 14,1.28778123856
Condenser,State,x22,Condenser|State|x22,0.566783249378
Condenser,State,x52,Condenser|State|x52,1.01067209244
Cooling Water,Contained by,Stream 12,Cooling Water|Contained by|Stream 12,0.339400321245
Cooling Water,Contained by,Stream 13,Cooling Water|Contained by|Stream 13,0.770210564137
C,Contained by,Stream 14,C|Contained by|Stream 14,0.816396892071
C,Contained by,Stream 4,C|Contained by|Stream 4,0.596784651279
C,Contained by,Stream 5,C|Contained by|Stream 5,0.268142968416
C,Contained by,Stream 6,C|Contained by|Stream 6,0.440500885248
C,Contained by,Stream 7,C|Contained by|Stream 7,0.0363107770681
C,Contained by,Stream 8,C|Contained by|Stream 8,0.465413182974
C,Contained by,Stream 9,C|Contained by|Stream 9,0.73870998621
C,Generate,G,C|Generate|G,0.00699906703085
C,Generate,H,C|Generate|H,0.0737257450819
C,State,x25,C|State|x25,1.0308368206
C,State,x31,C|State|x31,0.940946936607
D,Contained by,Stream 10,D|Contained by|Stream 10,0.133414432406
D,Contained by,Stream 11,D|Contained by|Stream 11,0.957432806492
D,Contained by,Stream 14,D|Contained by|Stream 14,0.0322101153433
D,Contained by,Stream 2,D|Contained by|Stream 2,0.122659377754
D,Contained by,Stream 5,D|Contained by|Stream 5,0.0357988774776
D,Contained by,Stream 6,D|Contained by|Stream 6,1.35530996323
D,Contained by,Stream 7,D|Contained by|Stream 7,1.79765081406
D,Contained by,Stream 8,D|Contained by|Stream 8,0.152917459607
