rank,node,score
1,Stream 12,0.552381932007
2,x51,0.421505239103
3,Reactor,0.393190081991
4,x21,0.364211239636
5,x9,0.302132460735
6,x8,0.298685387267
7,x7,0.296832566864
8,Cooling Water,0.289495330977
9,x6,0.136512051716
10,x28,0.116270868356
11,Stream 1,0.115226022902
12,x2,0.114563800694
13,x42,0.111959392712
14,Stream 3,0.107951935722
15,x23,0.106019483598
16,F,0.105595996421
17,x25,0.104745441088
18,Stream 6,0.103684631155
19,Stream 8,0.102747641904
20,Stream 2,0.102312963116
21,x27,0.101551352203
22,x5,0.100869034248
23,Stream 13,0.100080159902
24,x16,0.0995343049865
25,x18,0.0994332220934
