head,relation,tail,edge_key,weight
A,Contained by,Stream 1,A|Contained by|Stream 1,0.0664882330347
A,Contained by,Stream 14,A|Contained by|Stream 14,0.0664882330347
A,Contained by,Stream 4,A|Contained by|Stream 4,0.0664882330347
A,Contained by,Stream 5,A|Contained by|Stream 5,0.0664882330347
A,Contained by,Stream 6,A|Contained by|Stream 6,0.0664882330347
A,Contained by,Stream 7,A|Contained by|Stream 7,0.0664882330347
A,Contained by,Stream 8,A|Contained by|Stream 8,0.0664882330347
A,Contained by,Stream 9,A|Contained by|Stream 9,0.0664882330347
A,Generate,F,A|Generate|F,0.0664882330347
A,Generate,G,A|Generate|G,0.0664882330347
A,Generate,H,A|Generate|H,0.0664882330347
A,State,x23,A|State|x23,0.226002385638
A,State,x29,A|State|x29,0.5
B,Contained by,Stream 14,B|Contained by|Stream 14,0.0664882330347
B,Contained by,Stream 4,B|Contained by|Stream 4,0.0664882330347
B,Contained by,Stream 5,B|Contained by|Stream 5,0.0664882330347
B,Contained by,Stream 6,B|Contained by|Stream 6,0.0664882330347
B,Contained by,Stream 7,B|Contained by|Stream 7,0.0664882330347
B,Contained by,Stream 8,B|Contained by|Stream 8,0.0664882330347
B,Contained by,Stream 9,B|Contained by|Stream 9,0.0664882330347
B,State,x24,B|State|x24,0.226002385638
B,State,x30,B|State|x30,0.226002385638
Compressor,Output,Stream 6,Compressor|Output|Stream 6,0.574033076033
Compressor,State,x20,Compressor|State|x20,0.226002385638
Compressor,State,x46,Compressor|State|x46,0.226002385638
Condenser,Output,Stream 14,Condenser|Output|Stream 14,0.5
Condenser,State,x22,Condenser|State|x22,0
Condenser,State,x52,Condenser|State|x52,0.5
Cooling Water,Contained by,Stream 12,Cooling Water|Contained by|Stream 12,0.0664882330347
Cooling Water,Contained by,Stream 13,Cooling Water|Contained by|Stream 13,0.0664882330347
C,Contained by,Stream 14,C|Contained by|Stream 14,0.0664882330347
C,Contained by,Stream 4,C|Contained by|Stream 4,0.0664882330347
C,Contained by,Stream 5,C|Contained by|Stream 5,0.0664882330347
C,Contained by,Stream 6,C|Contained by|Stream 6,0.0664882330347
C,Contained by,Stream 7,C|Contained by|Stream 7,0.0664882330347
C,Contained by,Stream 8,C|Contained by|Stream 8,0.0664882330347
C,Contained by,Stream 9,C|Contained by|Stream 9,0.0664882330347
C,Generate,G,C|Generate|G,0.0664882330347
C,Generate,H,C|Generate|H,0.0664882330347
C,State,x25,C|State|x25,0.226002385638
C,State,x31,C|State|x31,0.226002385638
D,Contained by,Stream 10,D|Contained by|Stream 10,0.0664882330347
D,Contained by,Stream 11,D|Contained by|Stream 11,0.0664882330347
D,Contained by,Stream 14,D|Contained by|Stream 14,0.0664882330347
D,Contained by,Stream 2,D|Contained by|Stream 2,0.0664882330347
D,Contained by,Stream 5,D|Contained by|Stream 5,0.0664882330347
D,Contained by,Stream 6,D|Contained by|Stream 6,0.0664882330347
D,Contained by,Stream 7,D|Contained by|Stream 7,0.0664882330347
D,Contained by,Stream 8,D|Contained by|Stream 8,0.0664882330347
D,Contained by,Stream 9,D|Contained by|Stream 9,0.0664882330347
D,Generate,F,D|Generate|F,0.0664882330347
D,Generate,G,D|Generate|G,0.0664882330347
D,State,x26,D|State|x26,0.226002385638
D,State,x32,D|State|x32,0.226002385638
D,State,x37,D|State|x37,0.226002385638
E,Contained by,Stream 10,E|Contained by|Stream 10,0.0664882330347
E,Contained by,Stream 11,E|Contained by|Stream 11,0.0664882330347
E,Contained by,Stream 14,E|Contained by|Stream 14,0.0664882330347
E,Contained by,Stream 3,E|Contained by|Stream 3,0.0664882330347
E,Contained by,Stream 5,E|Contained by|Stream 5,0.0664882330347
