rank,node,score
1,x1,0.787572225857
2,x44,0.674266615353
3,Stream 1,0.423404181282
4,x20,0.232651175347
5,x16,0.216952350645
6,x19,0.200405743493
7,Steam,0.197706449523
8,x50,0.19597063327
9,Stream 4,0.195692597897
10,Stripper Steam,0.193403044781
11,Stream 10,0.188923738554
12,x13,0.166809849198
13,x48,0.16536203012
14,Stream 14,0.163422887747
15,Stripper,0.162232240106
16,Separator,0.160181562104
17,x18,0.158898369201
18,A,0.157434499356
19,x11,0.155663342173
20,x12,0.148824555065
21,x15,0.146743117721
22,x46,0.140527542012
23,C,0.134952283439
24,x4,0.131975099737
25,x45,0.131587863324
