rank,node,score
1,x1,0.82453621189
2,x44,0.658011990688
3,Stream 1,0.292339732268
4,x20,0.237699732737
5,x16,0.230355822289
6,x19,0.219882175081
7,Steam,0.218261756054
8,x50,0.216558430953
9,Stripper Steam,0.216101005374
10,Stream 4,0.215173267293
11,x18,0.189578598278
12,x15,0.181040727142
13,Stream 10,0.167093602027
14,Stripper,0.161019608241
15,x46,0.154652679501
16,Separator,0.137523960393
17,x13,0.134924594819
18,x49,0.131848505433
19,x11,0.128870320119
20,Stream 14,0.127440797052
21,Compressor,0.122806762985
22,x48,0.122475800578
23,Stream 8,0.120429954753
24,x12,0.118225543681
25,x5,0.116981130947
