head,relation,tail,edge_key,weight
A,Contained by,Stream 1,A|Contained by|Stream 1,0.606530659713
A,Contained by,Stream 14,A|Contained by|Stream 14,0.606530659713
A,Contained by,Stream 4,A|Contained by|Stream 4,0.606530659713
A,Contained by,Stream 5,A|Contained by|Stream 5,0.606530659713
A,Contained by,Stream 6,A|Contained by|Stream 6,0.606530659713
A,Contained by,Stream 7,A|Contained by|Stream 7,0.606530659713
A,Contained by,Stream 8,A|Contained by|Stream 8,0.606530659713
A,Contained by,Stream 9,A|Contained by|Stream 9,0.606530659713
A,Generate,F,A|Generate|F,0.135335283237
A,Generate,G,A|Generate|G,0.135335283237
A,Generate,H,A|Generate|H,0.135335283237
A,State,x23,A|State|x23,0.904837418036
A,State,x29,A|State|x29,0.904837418036
B,Contained by,Stream 14,B|Contained by|Stream 14,0.606530659713
B,Contained by,Stream 4,B|Contained by|Stream 4,0.606530659713
B,Contained by,Stream 5,B|Contained by|Stream 5,0.606530659713
B,Contained by,Stream 6,B|Contained by|Stream 6,0.606530659713
B,Contained by,Stream 7,B|Contained by|Stream 7,0.606530659713
B,Contained by,Stream 8,B|Contained by|Stream 8,0.606530659713
B,Contained by,Stream 9,B|Contained by|Stream 9,0.606530659713
B,State,x24,B|State|x24,0.904837418036
B,State,x30,B|State|x30,0.904837418036
Compressor,Output,Stream 6,Compressor|Output|Stream 6,0.740818220682
Compressor,State,x20,Compressor|State|x20,1
Compressor,State,x46,Compressor|State|x46,0.904837418036
Condenser,Output,Stream 14,Condenser|Output|Stream 14,0.740818220682
Condenser,State,x22,Condenser|State|x22,0.904837418036
Condenser,State,x52,Condenser|State|x52,0.904837418036
Cooling Water,Contained by,Stream 12,Cooling Water|Contained by|Stream 12,0.606530659713
Cooling Water,Contained by,Stream 13,Cooling Water|Contained by|Stream 13,0.606530659713
C,Contained by,Stream 14,C|Contained by|Stream 14,0.606530659713
C,Contained by,Stream 4,C|Contained by|Stream 4,0.606530659713
C,Contained by,Stream 5,C|Contained by|Stream 5,0.606530659713
C,Contained by,Stream 6,C|Contained by|Stream 6,0.606530659713
C,Contained by,Stream 7,C|Contained by|Stream 7,0.606530659713
C,Contained by,Stream 8,C|Contained by|Stream 8,0.606530659713
C,Contained by,Stream 9,C|Contained by|Stream 9,0.606530659713
C,Generate,G,C|Generate|G,0.135335283237
C,Generate,H,C|Generate|H,0.135335283237
C,State,x25,C|State|x25,0.904837418036
C,State,x31,C|State|x31,0.904837418036
D,Contained by,Stream 10,D|Contained by|Stream 10,0.606530659713
D,Contained by,Stream 11,D|Contained by|Stream 11,0.606530659713
D,Contained by,Stream 14,D|Contained by|Stream 14,0.606530659713
D,Contained by,Stream 2,D|Contained by|Stream 2,0.606530659713
D,Contained by,Stream 5,D|Contained by|Stream 5,0.606530659713
D,Contained by,Stream 6,D|Contained by|Stream 6,0.606530659713
D,Contained by,Stream 7,D|Contained by|Stream 7,0.606530659713
D,Contained by,Stream 8,D|Contained by|Stream 8,0.606530659713
D,Contained by,Stream 9,D|Contained by|Stream 9,0.606530659713
D,Generate,F,D|Generate|F,0.135335283237
D,Generate,G,D|Generate|G,0.135335283237
D,State,x26,D|State|x26,0.904837418036
D,State,x32,D|State|x32,0.904837418036
D,State,x37,D|State|x37,0.904837418036
E,Contained by,Stream 10,E|Contained by|Stream 10,0.606530659713
E,Contained by,Stream 11,E|Contained by|Stream 11,0.606530659713
E,Contained by,Stream 14,E|Contained by|Stream 14,0.606530659713
E,Contained by,Stream 3,E|Contained by|Stream 3,0.606530659713
E,Contained by,Stream 5,E|Contained by|Stream 5,0.606530659713
E,Contained by,Stream 6,E|Contained by|Stream 6,0.606530659713
E,Contained by,Stream 7,E|Contained by|Stream 7,0.606530659713
E,Contained by,Stream 8,E|Contained by|Stream 8,0.606530659713
E,Contained by,Stream 9,E|Contained by|Stream 9,0.606530659713
E,Generate,F,E|Generate|F,0.135335283237
E,Generate,H,E|Generate|H,0.135335283237
E,State,x27,E|State|x27,0.904837418036
E,State,x33,E|State|x33,0.904837418036
E,State,x38,E|State|x38,0.904837418036
F,Contained by,Stream 10,F|Contained by|Stream 10,0.606530659713
F,Contained by,Stream 11,F|Contained by|Stream 11,0.606530659713
F,Contained by,Stream 14,F|Contained by|Stream 14,0.606530659713
F,Contained by,Stream 5,F|Contained by|Stream 5,0.606530659713
F,Contained by,Stream 6,F|Contained by|Stream 6,0.606530659713
F,Contained by,Stream 7,F|Contained by|Stream 7,0.606530659713
F,Contained by,Stream 8,F|Contained by|Stream 8,0.606530659713
F,Contained by,Stream 9,F|Contained by|Stream 9,0.606530659713
F,State,x28,F|State|x28,0.904837418036
F,State,x34,F|State|x34,0.904837418036
F,State,x39,F|State|x39,0.904837418036
G,Contained by,Stream 10,G|Contained by|Stream 10,0.606530659713
G,Contained by,Stream 11,G|Contained by|Stream 11,0.606530659713
G,Contained by,Stream 14,G|Contained by|Stream 14,0.606530659713
G,Contained by,Stream 5,G|Contained by|Stream 5,0.606530659713
G,Contained by,Stream 7,G|Contained by|Stream 7,0.606530659713
G,Contained by,Stream 8,G|Contained by|Stream 8,0.606530659713
G,Contained by,Stream 9,G|Contained by|Stream 9,0.606530659713
G,State,x35,G|State|x35,0.904837418036
G,State,x40,G|State|x40,0.904837418036
H,Contained by,Stream 10,H|Contained by|Stream 10,0.606530659713
H,Contained by,Stream 11,H|Contained by|Stream 11,0.606530659713
H,Contained by,Stream 14,H|Contained by|Stream 14,0.606530659713
H,Contained by,Stream 5,H|Contained by|Stream 5,0.606530659713
H,Contained by,Stream 7,H|Contained by|Stream 7,0.606530659713
