rank,node,score
1,Stream 12,0.510044816385
2,x51,0.504750574551
3,x21,0.496594303171
4,Cooling Water,0.457898504824
5,x9,0.440957002453
6,x8,0.44031077589
7,x7,0.440034077163
8,Reactor,0.239014641264
9,x20,0.202742225508
10,x44,0.183583749124
11,x1,0.183526051937
12,x2,0.182917030183
13,x42,0.182901794624
14,x3,0.180833257578
15,x43,0.180762257795
16,Stream 13,0.171537920422
17,Stream 6,0.159863418496
18,x46,0.155341918643
19,x22,0.148523772597
20,x52,0.148047999581
21,x6,0.147980724986
22,x5,0.14639918221
23,x24,0.145504585691
24,x25,0.14511963098
25,x23,0.144848643063
