head,relation,tail,edge_key,weight
A,Contained by,Stream 1,A|Contained by|Stream 1,0.475107908249
A,Contained by,Stream 14,A|Contained by|Stream 14,0.0804173275828
A,Contained by,Stream 4,A|Contained by|Stream 4,0.102017149329
A,Contained by,Stream 5,A|Contained by|Stream 5,0.0673332586884
A,Contained by,Stream 6,A|Contained by|Stream 6,0.244190499187
A,Contained by,Stream 7,A|Contained by|Stream 7,0.114543527365
A,Contained by,Stream 8,A|Contained by|Stream 8,0.0539906024933
A,Contained by,Stream 9,A|Contained by|Stream 9,0.577302575111
A,Generate,F,A|Generate|F,0.341144472361
A,Generate,G,A|Generate|G,0.00816849805415
A,Generate,H,A|Generate|H,0.0141195319593
A,State,x23,A|State|x23,1.30149185658
A,State,x29,A|State|x29,1.31256389618
B,Contained by,Stream 14,B|Contained by|Stream 14,0.127502515912
B,Contained by,Stream 4,B|Contained by|Stream 4,0.0525425113738
B,Contained by,Stream 5,B|Contained by|Stream 5,0.0953177064657
B,Contained by,Stream 6,B|Contained by|Stream 6,0.0809962004423
B,Contained by,Stream 7,B|Contained by|Stream 7,0.951259970665
B,Contained by,Stream 8,B|Contained by|Stream 8,0.181892603636
B,Contained by,Stream 9,B|Contained by|Stream 9,0.628918528557
B,State,x24,B|State|x24,1.47287428379
B,State,x30,B|State|x30,0.95614773035
Compressor,Output,Stream 6,Compressor|Output|Stream 6,0.376807928085
Compressor,State,x20,Compressor|State|x20,0.663882672787
Compressor,State,x46,Compressor|State|x46,1.02996325493
Condenser,Output,Stream 14,Condenser|Output|Stream 14,1.29549896717
Condenser,State,x22,Condenser|State|x22,1.39260363579
Condenser,State,x52,Condenser|State|x52,0.651441693306
Cooling Water,Contained by,Stream 12,Cooling Water|Contained by|Stream 12,0.322055011988
Cooling Water,Contained by,Stream 13,Cooling Water|Contained by|Stream 13,0.913501560688
C,Contained by,Stream 14,C|Contained by|Stream 14,0.0508380271494
C,Contained by,Stream 4,C|Contained by|Stream 4,0.0715394094586
C,Contained by,Stream 5,C|Contained by|Stream 5,0.0501964092255
C,Contained by,Stream 6,C|Contained by|Stream 6,0.453458279371
C,Contained by,Stream 7,C|Contained by|Stream 7,0.0781780481339
C,Contained by,Stream 8,C|Contained by|Stream 8,0.103412389755
C,Contained by,Stream 9,C|Contained by|Stream 9,0.868647396564
C,Generate,G,C|Generate|G,0.00830218754709
C,Generate,H,C|Generate|H,0.0112165668979
C,State,x25,C|State|x25,1.15559256077
C,State,x31,C|State|x31,1.09523189068
D,Contained by,Stream 10,D|Contained by|Stream 10,0.239267081022
D,Contained by,Stream 11,D|Contained by|Stream 11,1.76289188862
D,Contained by,Stream 14,D|Contained by|Stream 14,0.0781175866723
D,Contained by,Stream 2,D|Contained by|Stream 2,0.109554074705
D,Contained by,Stream 5,D|Contained by|Stream 5,0.0446323901415
D,Contained by,Stream 6,D|Contained by|Stream 6,0.947041749954
D,Contained by,Stream 7,D|Contained by|Stream 7,0.238292142749
D,Contained by,Stream 8,D|Contained by|Stream 8,0.145441040397
D,Contained by,Stream 9,D|Contained by|Stream 9,0.689728736877
D,Generate,F,D|Generate|F,0.0999557971954
D,Generate,G,D|Generate|G,0.128916606307
D,State,x26,D|State|x26,0.106847710907
D,State,x32,D|State|x32,0.128289744258
D,State,x37,D|State|x37,0.132725641131
E,Contained by,Stream 10,E|Contained by|Stream 10,0.0456287488341
