rank,node,score
1,x40::high,0.3631071176
2,x39::low,0.321043135967
3,x16::low,0.266378350652
4,x18::high,0.255356137361
5,x7::low,0.239331717027
6,x41::low,0.238262370915
7,x36::high,0.23553567537
8,x10::low,0.231261455903
9,x13::low,0.230871284434
10,x29::low,0.227029797494
11,x45::low,0.213199717267
12,x38::low,0.204065164012
13,x50::high,0.203465334171
14,x19::high,0.200598400728
15,x37::high,0.200225158024
16,x21::high,0.182915733084
17,x33::high,0.165387079359
18,x47::low,0.164691339735
19,x8::high,0.153662129206
20,x34::high,0.153311295946
21,x51::fall,0.151866267579
22,x35::high,0.150090673998
23,x30::low,0.147110868655
24,x9::fall,0.143636459648
25,x11::high,0.131325488546
