rank,node,score
1,Stream 12,0.539722026085
2,x21,0.513897270156
3,Reactor,0.496365877726
4,x51,0.496272301174
5,x9,0.444847177019
6,Cooling Water,0.369010636141
7,x8,0.314249871384
8,x7,0.284782516974
9,x11,0.157483733352
10,x25,0.157003831388
11,x47,0.153025612406
12,x10,0.151942366327
13,Separator,0.149981145675
14,Stream 2,0.145516838842
15,x2,0.145235452004
16,Condenser,0.144559649482
17,x42,0.143457515019
18,x24,0.143101311729
19,C,0.141454061075
20,x23,0.140370924675
21,F,0.140224956037
22,Stream 4,0.138659890527
23,D,0.137514921859
24,x32,0.137210933045
25,x34,0.134860493672
